"","annint","hrint","hiv.incid.low","hiv.incid","hiv.incid.high","hiv.hr.low","hiv.hr","hiv.hr.high","hiv.pia.low","hiv.pia","hiv.pia.high","hiv.nnt.low","hiv.nnt","hiv.nnt.high","gc.incid.low","gc.incid","gc.incid.high","gc.hr.low","gc.hr","gc.hr.high","gc.pia.low","gc.pia","gc.pia.high","gc.nnt.low","gc.nnt","gc.nnt.high","ct.incid.low","ct.incid","ct.incid.high","ct.hr.low","ct.hr","ct.hr.high","ct.pia.low","ct.pia","ct.pia.high","ct.nnt.low","ct.nnt","ct.nnt.high","syph.incid.low","syph.incid","syph.incid.high","syph.hr.low","syph.hr","syph.hr.high","syph.pia.low","syph.pia","syph.pia.high","syph.nnt.low","syph.nnt","syph.nnt.high"
"1",52,26,3.56877934978665,3.77373362923087,3.93784528316691,1,1,1,0,0,0,NA,NA,NA,2.80362901132527,3.91099560319178,5.10307819338239,1,1,1,0,0,0,0,0,0,5.87160003389854,6.61971679890022,7.37957042046054,1,1,1,0,0,0,-0.0794799101962988,0.00225970325850534,0.0849186429446268,15.2103037151305,16.2043857728161,17.1377703157313,1,1,1,0,0,0,0,0,0
"2",4,26,3.05844994007271,3.24682639796807,3.43685383954783,0.797242993425568,0.867773395409056,0.92327219273127,0.0593979960387787,0.0935203414928825,0.120663397886836,5989.27656425891,7790.992,11554.7607777065,0,0,0.00456935490274729,0,0,0.00169514402877312,0.722460061895075,0.780611521619303,0.826218744685584,101.232961647535,106.227218889462,112.482442437497,0,0.0341090436658341,0.0997077244006153,0,0.00498293079001553,0.0140927987604782,0.776234482559461,0.797061380204722,0.823728374521981,67.0064193833152,68.2903849644925,69.7806701736694,11.606047163964,12.4841297583759,13.3660709900958,0.707033374876664,0.767648028551722,0.853143215041107,0.0630132167061583,0.10579538551661,0.142985995824627,227.40990951055,278.958411736078,389.040742673393
"3",9,26,3.1808989955799,3.31531798592824,3.51159231201181,0.823074158270188,0.894336055332586,0.950018762940365,0.0453963581946347,0.0831474795801238,0.10985230211337,2875.82283480984,4110.35549121828,6761.18728495464,0,0.0637401747718444,0.22966581315142,0,0.0173381622954889,0.063731567132694,0.608877168773906,0.695030686130285,0.760910023666037,53.1431613273804,57.1960349786714,62.267132424947,0.14148475008971,0.220997677322498,0.348260901820482,0.019305113811415,0.0337538508092732,0.0542892230436599,0.693069447902121,0.723728767610459,0.754948041529488,35.0396002869603,36.1632275005278,37.5292264946132,12.6355153435612,13.4841173385035,14.2706393280345,0.764994376753334,0.839499489847303,0.913633100084679,0.0363620882399709,0.0717661516625539,0.122357294128323,127.468162964959,173.236000764463,257.258003992806
"4",13,26,3.20284533842954,3.37861775034847,3.5719208526884,0.828718180796284,0.893559254560727,0.972988958647581,0.0406130200002474,0.0720810077395059,0.0998089208576844,2227.62668918919,3078.47196261682,4901.73453565506,0.0227190032342101,0.197439244898136,0.453842330719246,0.004096795922242,0.0537026029770171,0.129657249554235,0.552260847275955,0.651733414704974,0.717583967477674,38.9860677350062,43.7937079616645,48.0646991886828,0.213683905875505,0.357471325455018,0.547855950359872,0.0331477133278984,0.054810419127677,0.083220939527623,0.647454401831103,0.687595456194254,0.720612482033394,25.9601211520689,26.8225568210894,28.0731485829207,12.8426269181414,13.7078968827813,14.530536214709,0.779172824134675,0.855175058593755,0.93254811709305,0.0273015961532276,0.0680007104980039,0.108407366404496,99.6734946574055,136.718221426761,221.177858191537
"5",17,26,3.14509704261024,3.34607195232695,3.54834180501344,0.816054566605672,0.885810788606177,0.975699084538462,0.0368973719231534,0.0647589179088883,0.0933988169585382,1895.46527484441,2690.27513227513,4582.0972972973,0.0623343517618221,0.301996409946663,0.80589234877354,0.0124028788955213,0.0754624619385685,0.215735382965275,0.486063312892356,0.621325837076417,0.705455954059893,31.5573788567851,35.2265928234831,40.1650883399344,0.368910060785305,0.558431466655721,0.801643347442487,0.0555531406664617,0.0840258960277377,0.126567107473474,0.601425938431337,0.646478598679553,0.681891641033557,20.9267073102252,21.9401642321365,23.2340366626564,13.1537505325206,14.1238106429821,15.0071724296584,0.79037445996656,0.870962766585333,0.961169173559094,0.0120990964682324,0.0589595897907396,0.103214316967527,71.113802901395,108.836811761998,184.713708726415
"6",21,26,3.2047098790477,3.3751693689124,3.58683412700632,0.834850869690657,0.89313507538746,0.977314911196092,0.0368895007977076,0.0638763998736724,0.0868312331063785,1612.77277131783,2161.72181041609,3408.54166666667,0.190761414040166,0.506546657078842,0.833702080614339,0.0466151548868364,0.117375862112413,0.239834010313706,0.440593046813485,0.567356146734741,0.66789092418751,27.0428943285074,30.5345844751726,36.311385735985,0.494137840814805,0.729756188014096,0.952689929232304,0.0734838234983723,0.107544873783023,0.150087516401883,0.569834697980287,0.619538093956719,0.66400348198371,17.5500280951752,18.4312747896086,19.7074178739007,13.3573364675741,14.3549196435305,15.2233142848905,0.797755612534812,0.895775242291738,0.977086345077318,0.0152314123221668,0.0553611477883658,0.0935501474476533,62.4829474327989,93.5363550143621,162.12192356085
"7",26,26,3.2137903469939,3.40882706246679,3.58869394913811,0.834588463064418,0.898638977697152,0.971098178186389,0.0311139072297226,0.0610731192155044,0.0867105654760526,1282.49045801527,1828.48112839299,2967.36187514949,0.233655532623899,0.636224579857665,1.08264557191061,0.0610840203334821,0.142964324671262,0.327823050808333,0.393597939676723,0.506738189743255,0.615696097995589,23.5325709152843,27.2392934667933,34.1486141872063,0.66546955510082,0.931795134163409,1.19226070744368,0.104660381181913,0.145354109113123,0.193096532106917,0.52738207580818,0.579507381544919,0.629366057188507,15.1141421212426,15.8753435486284,17.260482442469,13.5065899736027,14.496978074655,15.4156413075176,0.828719455835516,0.896421538503477,0.97352520533279,0.00364093083744779,0.0538188242784384,0.0895956898031032,51.2393850050108,75.9620722352741,156.619028340081
"8",30,26,3.22130087779055,3.41828537612821,3.63105127102423,0.836481046892528,0.906209633208654,0.989385238953724,0.021431297083509,0.0523055996912752,0.0812127951851466,1038.78849055874,1652.3871146813,2923.36927952999,0.372529185564972,0.736886738776802,1.32976480993728,0.084496015555968,0.182966534005146,0.348988171548673,0.342235978521599,0.497392163769908,0.593307323241392,21.3849652551318,24.8807658146901,31.0526793238827,0.790282179306635,1.13171987001407,1.47592531844295,0.120000874972535,0.165108481728442,0.237670235505865,0.502752660244573,0.558263991880788,0.606354840180211,13.4433416742403,14.4394409611734,15.7002295349934,13.7146950504589,14.5106290229845,15.3571578854672,0.816878199046148,0.895256926576275,0.990655704880465,0.00455043962072573,0.0462363908224162,0.0798314920609878,39.9448010249856,65.8388998035363,144.641202769626
"9",34,26,3.24763484803374,3.41545032691494,3.60179634612615,0.836737261320195,0.909005736814951,0.984390259548977,0.0239445740886386,0.0564683684023121,0.0847749466309264,911.170126973233,1382.97215041128,2397.31454248366,0.373469178322523,0.792728558575749,1.29624485997696,0.102563560189448,0.213509202924909,0.346295941740944,0.308367477037553,0.45043394211817,0.580282977296006,19.2583320810119,23.0982340477741,31.3515101281422,0.935377612669649,1.22350755066917,1.55719285754638,0.139601141457887,0.182893446968957,0.244760104666654,0.479417401056472,0.531782280350719,0.578966161521573,12.4338794571794,13.3685228577369,14.5191136749198,13.6622912798216,14.5078049962955,15.4324328634232,0.823805490920967,0.895650244116897,0.98433745238196,0.0043446069594537,0.0427034327297486,0.0872882617558431,37.3549003581002,59.8265861790261,117.35280756941
"10",39,26,3.24607200137886,3.43248806631932,3.65119972648447,0.847062786757363,0.909757690575303,0.990548336946203,0.0208154520085869,0.050011121948918,0.0783068282552096,764.449155890805,1216.17582417582,2193.40485294118,0.446779947738426,0.824743524934048,1.38489601135156,0.10454179258019,0.225145339450052,0.402908603635255,0.321895866054872,0.466416188936082,0.580593630166365,17.1613132108242,20.2442725276197,25.8223987538097,1.07797445640146,1.43548799396444,1.74802421531973,0.160711010927923,0.222461636478886,0.275143037944998,0.448621527979692,0.510631174694061,0.553275086013039,11.3567425430255,12.295655169168,13.4422395964066,13.7200482385068,14.4960503693486,15.5617002763475,0.831772928909951,0.90828592924858,0.993464119234948,0.00113726603196983,0.0393778284823263,0.0906032430962116,30.3110623667303,48.6052179837451,95.6095368927527
"11",43,26,3.28907384033228,3.44721586113497,3.63743755133794,0.852121032936149,0.921635563728432,0.993223920258349,0.0127932804112581,0.0437452928195723,0.071809649051055,759.675457511704,1284.26574164232,2397.04464285714,0.510282930467379,1.05899831786488,1.79110208115673,0.116073273159845,0.265712101377657,0.513199021656483,0.254712445550399,0.432572903650851,0.566464431944888,15.7345998665526,19.3313516603303,26.996629034171,1.20875933169307,1.5538743020958,1.95243002066283,0.18339233695476,0.237195717553976,0.299643097193528,0.428077274863528,0.499048817974977,0.549254785473914,10.5731680271311,11.5186315137549,12.6623706117123,13.9554246973193,14.6303539837585,15.6978120933374,0.835739214463174,0.909449895385937,0.990956811811682,-0.00319534969270289,0.0364825922643983,0.0749485996364747,29.7974482625347,51.4679542236628,115.494890510949
"12",47,26,3.31514871163962,3.51443390730903,3.66115345660428,0.85584094778029,0.932170396952418,1.00252623220352,0.012092370564295,0.0462491130710829,0.06874177376576,645.632312488538,1133.10291806958,1827.61663366337,0.686428017123843,1.25553155030806,1.87869710406561,0.168005915686028,0.320893057939937,0.537364644940533,0.18932062779829,0.412077347520008,0.534402600933914,15.4113971594236,20.1966203878454,27.8641433713754,1.40212626072805,1.78211174932123,2.33283427952732,0.205258782460565,0.272570523916777,0.362725359419024,0.406439950048743,0.462306980330341,0.525227108088455,10.0653369749496,11.180969188003,12.5076451861765,14.0007378381238,14.9573831535374,15.9199206218972,0.844474356744559,0.9203783727402,1.01184477234781,-0.0148109318231045,0.0299464856547793,0.0713173912886414,-33.7519808938158,44.8604472344612,82.2761813186813
"13",52,26,3.32160458416161,3.48752559367317,3.65322177759387,0.855121011012051,0.92068466185957,0.985223802864629,0.0102541331463927,0.0425710187145607,0.0777537852486609,560.810361781798,888.063958810069,1746.40008223684,0.61869707388625,1.17721700068592,1.92600159285622,0.153209675748473,0.308856430479004,0.529578238077712,0.204359107548882,0.375718787093142,0.533126231514459,13.4569665564594,16.9289534278495,24.4872864737051,1.54867082466629,1.97168158495009,2.4074556089263,0.228142056677313,0.30041579992249,0.383495468929928,0.377270312998737,0.447670781539674,0.508352609125667,9.40257764821771,10.5292787926623,11.9942930708515,13.9118505877181,14.8202384168452,15.830684755014,0.845803783352312,0.910539540807944,1.02159357394058,-0.0123931116231497,0.0321424311887356,0.0738269832087758,20.4997742094351,39.5912955597305,75.0406664845671
"14",52,4,3.1590819702585,3.30211526904947,3.50165993283358,0.814783622597813,0.886659821163119,0.955042974979334,0.0479795054875949,0.0835394992874413,0.10976059755455,5999.84774971813,7877.33617021277,12529.2369500373,0,0.0660801304527853,0.254135486338586,0,0.0176719637163339,0.0653086517241234,0.640285652709849,0.715294633662161,0.766406912806884,103.210959072077,109.675834489693,119.078789122969,0.202287439456237,0.3375157750872,0.540073289022463,0.0294985797374149,0.0542002015692862,0.0842744193896638,0.689553149966607,0.723538432862776,0.757191068341803,68.8949824855544,71.1911110471264,74.7773896391433,12.3611613999027,13.0646625350539,13.8842119948669,0.741092186631151,0.80911622138247,0.886711790153247,0.0482036896821729,0.0890473465474251,0.121232354864944,232.23252313224,307.332662655497,420.144108203175
"15",52,7,3.17690450431034,3.33484797781979,3.55352657536762,0.823555299869688,0.885498581648146,0.955658059418824,0.0489620810955856,0.0753999524102852,0.101495833485136,3910.97062381654,5383.94575471698,8800.57307692308,0.00457216029621772,0.128257209398601,0.36812158299384,0.00129920663246673,0.0321084686921252,0.0951589291560906,0.58201221416357,0.67930085113493,0.755975405851051,66.020173506688,71.0363066586561,78.2513081985964,0.236573347830551,0.35880655980237,0.548653407551725,0.0352357890507215,0.0530249796881678,0.0832130307091121,0.679568958055599,0.712014246510094,0.743883911163105,43.3966505239837,44.9090402490479,46.82588372446,12.5051649930583,13.4620207990948,14.2813236176254,0.763119582872804,0.831210003621947,0.904371276441581,0.0358977454127096,0.07664794174218,0.119290570572515,156.096640275976,219.10863237208,359.945062056149
"16",52,9,3.12776010835127,3.29286168185766,3.47889223419223,0.811386222977235,0.870569810935347,0.945479327304282,0.0458762642339106,0.0750139343737094,0.107095996062439,3086.07912457912,4430.71010957936,6969.00603693182,0.00341250341250341,0.165530808210194,0.444590616462435,0.00161819668143359,0.042500054750494,0.115945225761482,0.590097316183283,0.667221586132408,0.733552407245942,53.167292109767,57.8069738056277,64.1968101764046,0.256460009809934,0.386353023519529,0.572465530257783,0.0392256167064318,0.0592267976689625,0.0874333642980713,0.661586853363253,0.696773922547923,0.734991063572801,35.1439898376505,36.3330411177697,38.0079195431608,12.7553519945955,13.6505059652885,14.3902471830833,0.769576944636023,0.841455389488926,0.92059689155283,0.0367264212951422,0.0746581391305755,0.117524219941132,126.204770496067,167.959065564135,261.672951166088
"17",52,11,3.15788944800795,3.3350257943693,3.51131032604073,0.817363863305714,0.886401019287938,0.958592167919733,0.0424499123425247,0.0703124722930372,0.102245529281293,2530.88819767442,3607.16296287898,5431.1530061665,0.00456376683676175,0.163749064238814,0.388171151733969,0.00115047930029013,0.0403083002991391,0.11117896086107,0.542830873531679,0.639874099396546,0.735459178870216,44.8478658660898,49.1579303481225,55.1989936692451,0.278870119365974,0.436839750473944,0.637445963043044,0.0424815611598586,0.0657715570747957,0.098699803838843,0.646247703367754,0.684688189120821,0.716729830908374,29.8544337694524,30.8900878455839,32.2800632909636,13.1236144431377,13.883673392429,14.6905185783101,0.782933767364845,0.861054604914358,0.937522125248052,0.0209751147121513,0.0634512696118089,0.109847124911143,104.735765124555,152.342710392024,240.341505128515
"18",52,13,3.18840208310122,3.33209683401772,3.50208650994112,0.824986222458462,0.881848149997614,0.947136722592422,0.0427965140802174,0.0693659664006573,0.10516412126431,2202.5512694977,3252.42730064464,5498.26378024048,0.0441689088690803,0.212870869095293,0.547140507536361,0.00984768517015843,0.05874185026285,0.156264588538273,0.522571259420223,0.630018986189156,0.707770785814975,39.2751692123697,43.7981075247564,49.235555809955,0.306005612115288,0.452754647510725,0.626620414174589,0.0468485606659537,0.0691641186324286,0.0989148665732725,0.635341514489915,0.672922203676942,0.712813231335567,25.6910265908014,26.6835004001092,27.9416966361745,12.8688653420375,13.933304094918,14.8798812316125,0.781253287473125,0.856722759267407,0.942740089485245,0.0224451901177829,0.065075165170399,0.106343802658505,96.1885276543422,132.042691801986,206.470177241058
"19",52,15,3.20611015435612,3.37313151726827,3.56713602849294,0.82502566037263,0.897093198125017,0.973348641707865,0.0394591425430829,0.0689834313971482,0.0965197067654756,1960.14186851211,2782.1899808704,4296.25594042358,0.0749226380317149,0.324782000905107,0.562506965504893,0.0157545627720541,0.0812990340266794,0.165000598997636,0.48080844395936,0.611264120543699,0.706014686959651,35.5136733930781,39.0434181041024,43.5102637121414,0.391238028426899,0.597080063846258,0.824596118370441,0.0579636357773808,0.0864978279182833,0.130932620440568,0.60746497226571,0.64831718732833,0.691443394905666,23.2127887634812,24.2664085977773,25.4512703611221,13.1220295851245,14.0116743923514,14.9577107897438,0.797693944411618,0.86848727069771,0.941913808624143,0.0177470551553982,0.0610756718659252,0.102188532741033,91.0021884613321,127.930430846129,200.138154587348
"20",52,17,3.15181149095979,3.35022490496583,3.54433992167352,0.81748836370155,0.882330162533253,0.963488024273494,0.0398823624698952,0.0664356983303606,0.0949003916553028,1803.6167579016,2650.74102066092,3868.97868217054,0.102983372265304,0.384991527574333,0.857590987926482,0.0311707570888221,0.0922693475930359,0.209315416667995,0.441563883188023,0.576552619670855,0.681460288476324,32.2219945060114,36.904852049977,43.7199920770774,0.407514048440073,0.617029157531639,0.87099129650761,0.0631958773480493,0.0932593006631043,0.131505299136608,0.592681558327106,0.638605222088532,0.686004131569557,20.8303396613227,21.7359311360905,23.0958288985008,13.2464243536698,14.0113129150209,15.1249106777718,0.803491509685755,0.867742486827127,0.952618767063481,0.0139980750819138,0.0576021495955164,0.0990206514818702,70.8874212505704,114.72600957885,190.54606142861
"21",52,19,3.23806652131847,3.39320270042859,3.58608405064022,0.837522490716706,0.903754496381402,0.970848967792855,0.0298151566124413,0.0570906060295266,0.0904435140415982,1677.91266995006,2585.899740881,4158.8302027027,0.152105763261298,0.526981682570433,0.924684874717643,0.0407715148390977,0.125565345928049,0.245737165333956,0.441328997342962,0.569152898317956,0.656854102483559,29.8170259574098,33.7253933172149,39.5082690666633,0.477384843829745,0.752208948163824,0.944704213686559,0.0724227726080683,0.112200161873222,0.154098723744439,0.57783693750253,0.619164562356017,0.670686884917834,19.1073552974546,20.1858934059521,21.3649488004953,13.4671326430457,14.301167963686,15.2250898961205,0.805760615508249,0.896443043722305,0.978107040935861,0.00748011029871713,0.0493652659919751,0.0921482063051925,59.1858932749773,97.7142235376045,168.996779388084
"22",52,21,3.18217395889516,3.37833754895687,3.56023259864005,0.827760053640168,0.899840649248464,0.953417122730019,0.0355622053486386,0.065440054659534,0.0868207452685994,1566.60892073706,2216.50328165835,3472.40677966102,0.19117639282195,0.519111522066059,1.01473525630725,0.0463313352751337,0.139990302818182,0.292714162500892,0.425836112686955,0.549400601854999,0.658938399234124,27.235595884497,31.2173427010382,37.0524512370005,0.522337074663753,0.72273677403635,1.04650945515918,0.0830642609290992,0.114126185200719,0.168155662446585,0.560069700731701,0.613530108589099,0.650713249009072,17.5725564886749,18.4852155913002,19.5891748251942,13.3433013269614,14.1665808061285,15.0157110229382,0.810310184020396,0.880741435903815,0.961544134018717,0.0124064300027547,0.0542616454100029,0.0966755100178475,59.5189603801214,93.9213578775274,161.856202623777
"23",52,23,3.21533739046994,3.38498540925472,3.59549747295275,0.825846756085413,0.909115080058909,0.980369563979727,0.0309333945920715,0.0516967316942049,0.0882114936515052,1363.82445187166,2068.15822470515,3526.37715633423,0.157074296498741,0.455582154888376,0.879325241528308,0.0389283964899948,0.11521857419604,0.251874641377665,0.446006240313448,0.574733755714918,0.650615664666665,24.2310249624061,28.3786374361511,33.1475364927106,0.637068556557699,0.85284004561548,1.14090688175185,0.0961150707638092,0.13156873318146,0.176526726368733,0.551444107132621,0.595479746228072,0.643169710618107,16.4322312261043,17.3755988625718,18.2922237385702,13.3879467672577,14.4171007561154,15.2419892174216,0.807456220039135,0.896196067262282,0.976357932569163,0.00140081554231311,0.0475829254182612,0.0851722281126449,51.9732913810984,86.6280562028828,146.034662529003
"24",52,26,3.23530157413396,3.4085311516652,3.60734672047168,0.843909844035361,0.910036480580758,0.97870960997816,0.0279476365923738,0.0563488347812239,0.0881321276990129,1229.37510442774,1822.2,2962.15020292208,0.187755209005197,0.593476205738583,1.07766133738923,0.0483383201194036,0.138472555264608,0.303912549683629,0.386802565990317,0.510903786551012,0.623811050378802,23.0071257188292,26.4119448618358,32.3957853384115,0.627518344099907,0.915205785555809,1.17452861314764,0.0926367432641069,0.136828952580864,0.187880163065402,0.52755531991757,0.577197686066772,0.624626636201015,14.887123700203,15.8958825823445,17.1758375301097,13.4923589963989,14.4984973535314,15.2381107622279,0.82177229295139,0.896498415346347,0.979283744706667,-0.00150944060291277,0.0467660823429518,0.0882251964350288,48.4189294595766,81.3545488271473,141.648582701956
